"CNTY","CHILD_DEATH_YR","UNDERLYING_COD","CNT_BY_UNDERLYING_COD","CNTY_YR_DEATH_TOTAL","PCT_CNTY_YR_TOTAL","CHILD_DEATH_CNTY_POP","CNTY_YR_DEATH_TOTAL_PER_10000_CNTY_RES"
GRANT,2010,Other disorders of lung,1,7,14.285700,70061,0.990000
GRANT,2010,Accidental suffocation and strangulation in bed,1,7,14.285700,70061,0.990000
GRANT,2010,Gangrene and necrosis of lung,1,7,14.285700,70061,0.990000
GRANT,2011,"Intraventricular (nontraumatic) hemorrhage, grade 3, of newborn",1,1,100.000000,69702,0.140000
GRANT,2012,Neonatal cardiac failure,1,3,33.333300,69198,0.430000
GRANT,2012,"Septicemia, unspecified",1,3,33.333300,69198,0.430000
GRANT,2012,"Congenital malformation, unspecified",1,3,33.333300,69198,0.430000
GRANT,2013,Accidental suffocation and strangulation in bed,1,3,33.333300,69011,0.430000
GRANT,2013,Bronchopulmonary dysplasia originating in the perinatal period,1,3,33.333300,69011,0.430000
GRANT,2013,Sudden infant death syndrome,1,3,33.333300,69011,0.430000
GRANT,2014,Sudden infant death syndrome,2,8,25.000000,68505,1.160000
GRANT,2014,Unspecified spina bifida with hydrocephalus,1,8,12.500000,68505,1.160000
GRANT,2014,Pneumothorax originating in the perinatal period,1,8,12.500000,68505,1.160000
GRANT,2014,Convulsions of newborn,1,8,12.500000,68505,1.160000
GRANT,2014,"Bacterial meningitis, unspecified",1,8,12.500000,68505,1.160000
GRANT,2014,Acidosis,1,8,12.500000,68505,1.160000
GRANT,2014,Unspecified intraventricular (nontraumatic) hemorrhage of newborn,1,8,12.500000,68505,1.160000
GRANT,2015,Perinatal intestinal perforation,1,4,25.000000,67692,0.590000
GRANT,2015,"Subarachnoid hemorrhage, unspecified",1,4,25.000000,67692,0.590000
GRANT,2015,"Spinal muscular atrophy, unspecified",1,4,25.000000,67692,0.590000
GRANT,2015,Sudden infant death syndrome,1,4,25.000000,67692,0.590000
GRANT,2016,Congenital diaphragmatic hernia,1,2,50.000000,66937,0.290000
GRANT,2016,Sudden infant death syndrome,1,2,50.000000,66937,0.290000
GRANT,2017,Sudden infant death syndrome,2,5,40.000000,66937,0.740000
GRANT,2017,"Myocarditis, unspecified",1,5,20.000000,66937,0.740000
GRANT,2017,"Bacterial sepsis of newborn, unspecified",1,5,20.000000,66937,0.740000
GRANT,2017,"Septicemia, unspecified",1,5,20.000000,66937,0.740000
GRANT,2018,Other bacterial infections of unspecified site,1,3,33.333300,66937,0.440000
GRANT,2018,Other preterm infants,1,3,33.333300,66937,0.440000
GRANT,2018,Acidosis,1,3,33.333300,66937,0.440000
GREENE,2011,"Congenital malformation of the heart, unspecified",1,3,33.333300,33078,0.900000
GREENE,2011,"Atrioventricular block, complete",1,3,33.333300,33078,0.900000
GREENE,2011,Other primary thrombocytopenia,1,3,33.333300,33078,0.900000
GREENE,2012,"Edwards' syndrome, unspecified",1,1,100.000000,33001,0.300000
GREENE,2013,Other specified cerebrovascular diseases,1,2,50.000000,32781,0.610000
GREENE,2013,"Congenital malformation of the heart, unspecified",1,2,50.000000,32781,0.610000
GREENE,2014,Other specified neonatal hemorrhages,1,3,33.333300,32720,0.910000
GREENE,2014,Convulsions of newborn,1,3,33.333300,32720,0.910000
GREENE,2014,Disorders of glycine metabolism,1,3,33.333300,32720,0.910000
GREENE,2016,Anencephaly,1,2,50.000000,32211,0.620000
GREENE,2016,Other and unspecified gastroenteritis and colitis of infectious origin,1,2,50.000000,32211,0.620000
GREENE,2018,Sudden infant death syndrome,1,1,100.000000,32211,0.310000
HAMILTON,2010,Tetralogy of Fallot,1,9,11.111100,274569,0.320000
HAMILTON,2010,"Intracranial (nontraumatic) hemorrhage of newborn, unspecified",1,9,11.111100,274569,0.320000
HAMILTON,2010,Triploidy and polyploidy,1,9,11.111100,274569,0.320000
HAMILTON,2010,Other disorders of lung,1,9,11.111100,274569,0.320000
HAMILTON,2010,Sudden infant death syndrome,1,9,11.111100,274569,0.320000
HAMILTON,2010,Hemophagocytic lymphohistiocytosis,1,9,11.111100,274569,0.320000
HAMILTON,2010,"Edwards' syndrome, unspecified",1,9,11.111100,274569,0.320000
HAMILTON,2010,Unspecified pulmonary hemorrhage originating in the perinatal period,1,9,11.111100,274569,0.320000
HAMILTON,2010,Other reduction deformities of brain,1,9,11.111100,274569,0.320000
HAMILTON,2011,Other secondary pulmonary hypertension,1,13,7.692300,283302,0.450000
HAMILTON,2011,Other and unspecified adrenocortical insufficiency,1,13,7.692300,283302,0.450000
HAMILTON,2011,"Edwards' syndrome, unspecified",1,13,7.692300,283302,0.450000
HAMILTON,2011,Newborn affected by chorioamnionitis,1,13,7.692300,283302,0.450000
HAMILTON,2011,Sudden infant death syndrome,1,13,7.692300,283302,0.450000
HAMILTON,2011,Congenital herpesviral [herpes simplex] infection,1,13,7.692300,283302,0.450000
HAMILTON,2011,"Cardiomyopathy, unspecified",1,13,7.692300,283302,0.450000
HAMILTON,2011,Respiratory distress syndrome of newborn,1,13,7.692300,283302,0.450000
HAMILTON,2011,Neonatal cardiac failure,1,13,7.692300,283302,0.450000
HAMILTON,2011,Occipital encephalocele,1,13,7.692300,283302,0.450000
HAMILTON,2011,"Congenital pneumonia, unspecified",1,13,7.692300,283302,0.450000
HAMILTON,2011,"Other specified congenital malformation syndromes, not elsewhere classified",1,13,7.692300,283302,0.450000
HAMILTON,2011,Other and unspecified gastroenteritis and colitis of infectious origin,1,13,7.692300,283302,0.450000
HAMILTON,2012,"Hanging, strangulation, and suffocation, undetermined intent",1,4,25.000000,289681,0.130000
HAMILTON,2012,Sudden infant death syndrome,1,4,25.000000,289681,0.130000
HAMILTON,2012,Chronic congestive splenomegaly,1,4,25.000000,289681,0.130000
HAMILTON,2012,Accidental suffocation and strangulation in bed,1,4,25.000000,289681,0.130000
HAMILTON,2013,"Congenital malformation of the heart, unspecified",2,5,40.000000,296918,0.160000
HAMILTON,2013,Unspecified intraventricular (nontraumatic) hemorrhage of newborn,1,5,20.000000,296918,0.160000
HAMILTON,2013,Intracranial and intraspinal phlebitis and thrombophlebitis,1,5,20.000000,296918,0.160000
HAMILTON,2013,Exomphalos,1,5,20.000000,296918,0.160000
HAMILTON,2014,"Birth asphyxia, unspecified",2,13,15.384600,303065,0.420000
HAMILTON,2014,Perforation of intestine (nontraumatic),1,13,7.692300,303065,0.420000
HAMILTON,2014,Accidental suffocation and strangulation in bed,1,13,7.692300,303065,0.420000
HAMILTON,2014,Necrotizing enterocolitis of newborn,1,13,7.692300,303065,0.420000
HAMILTON,2014,Sudden infant death syndrome,1,13,7.692300,303065,0.420000
HAMILTON,2014,Other preterm infants,1,13,7.692300,303065,0.420000
HAMILTON,2014,"Bacterial sepsis of newborn, unspecified",1,13,7.692300,303065,0.420000
HAMILTON,2014,"Respiratory failure, unspecified",1,13,7.692300,303065,0.420000
HAMILTON,2014,Hypoplasia and dysplasia of lung,1,13,7.692300,303065,0.420000
HAMILTON,2014,"Metabolic disorder, unspecified",1,13,7.692300,303065,0.420000
HAMILTON,2014,Extreme immaturity,1,13,7.692300,303065,0.420000
HAMILTON,2014,Respiratory distress syndrome of newborn,1,13,7.692300,303065,0.420000
HAMILTON,2015,"Hanging, strangulation, and suffocation, undetermined intent",1,10,10.000000,309172,0.320000
HAMILTON,2015,"Congenital malformation of the heart, unspecified",1,10,10.000000,309172,0.320000
HAMILTON,2015,Hypoplastic left heart syndrome,1,10,10.000000,309172,0.320000
HAMILTON,2015,"Patau's syndrome, unspecified",1,10,10.000000,309172,0.320000
HAMILTON,2015,Atresia of esophagus without fistula,1,10,10.000000,309172,0.320000
HAMILTON,2015,"Edwards' syndrome, unspecified",1,10,10.000000,309172,0.320000
HAMILTON,2015,Primary atelectasis of newborn,1,10,10.000000,309172,0.320000
HAMILTON,2015,Respiratory distress syndrome of newborn,1,10,10.000000,309172,0.320000
HAMILTON,2015,Congenital heart block,1,10,10.000000,309172,0.320000
HAMILTON,2015,Extreme immaturity,1,10,10.000000,309172,0.320000
HAMILTON,2016,Unspecified intraventricular (nontraumatic) hemorrhage of newborn,2,8,25.000000,316373,0.250000
HAMILTON,2016,"Urinary tract infection, site not specified",1,8,12.500000,316373,0.250000
HAMILTON,2016,"Bacterial sepsis of newborn, unspecified",1,8,12.500000,316373,0.250000
HAMILTON,2016,Unspecified threat to breathing,1,8,12.500000,316373,0.250000
HAMILTON,2016,"Patau's syndrome, unspecified",1,8,12.500000,316373,0.250000
HAMILTON,2016,Necrotizing enterocolitis of newborn,1,8,12.500000,316373,0.250000
HAMILTON,2016,Discordant ventriculoarterial connection,1,8,12.500000,316373,0.250000
HAMILTON,2017,Sudden infant death syndrome,3,11,27.272700,316373,0.340000
HAMILTON,2017,Accidental suffocation and strangulation in bed,1,11,9.090900,316373,0.340000
HAMILTON,2017,Congenital diaphragmatic hernia,1,11,9.090900,316373,0.340000
HAMILTON,2017,"Patau's syndrome, unspecified",1,11,9.090900,316373,0.340000
HAMILTON,2017,Congenital malformations of intestinal fixation,1,11,9.090900,316373,0.340000
HAMILTON,2017,Extreme immaturity,1,11,9.090900,316373,0.340000
HAMILTON,2017,Hypoplasia and dysplasia of lung,1,11,9.090900,316373,0.340000
HAMILTON,2017,Hypoxic ischemic encephalopathy of newborn,1,11,9.090900,316373,0.340000
HAMILTON,2017,"Respiratory distress of newborn, unspecified",1,11,9.090900,316373,0.340000
HAMILTON,2018,Other bacterial sepsis of newborn,1,5,20.000000,316373,0.150000
HAMILTON,2018,Sudden infant death syndrome,1,5,20.000000,316373,0.150000
HAMILTON,2018,Other preterm infants,1,5,20.000000,316373,0.150000
HAMILTON,2018,"Inflammatory liver disease, unspecified",1,5,20.000000,316373,0.150000
HAMILTON,2018,"Bacterial sepsis of newborn, unspecified",1,5,20.000000,316373,0.150000
HANCOCK,2010,Other congenital viral diseases,1,2,50.000000,70002,0.280000
HANCOCK,2010,"Edwards' syndrome, unspecified",1,2,50.000000,70002,0.280000
HANCOCK,2011,Unspecified threat to breathing,1,3,33.333300,70377,0.420000
HANCOCK,2011,Neonatal cardiac failure,1,3,33.333300,70377,0.420000
HANCOCK,2011,"Lobar pneumonia, unspecified",1,3,33.333300,70377,0.420000
HANCOCK,2012,Other ill-defined and unspecified causes of mortality,2,3,66.666600,70645,0.420000
HANCOCK,2012,"Congenital malformation of the heart, unspecified",1,3,33.333300,70645,0.420000
HANCOCK,2013,"Patau's syndrome, unspecified",1,2,50.000000,71086,0.280000
HANCOCK,2013,Sudden infant death syndrome,1,2,50.000000,71086,0.280000
HANCOCK,2015,Deletion of short arm of chromosome 4,1,5,20.000000,72392,0.690000
HANCOCK,2015,Other preterm infants,1,5,20.000000,72392,0.690000
HANCOCK,2015,Cerebral infarction due to thrombosis of cerebral arteries,1,5,20.000000,72392,0.690000
HANCOCK,2015,Other bacterial meningitis,1,5,20.000000,72392,0.690000
HANCOCK,2015,"Other maltreatment syndromes, by parent",1,5,20.000000,72392,0.690000
HANCOCK,2016,Holoprosencephaly,1,3,33.333300,73717,0.400000
HANCOCK,2016,Accidental suffocation and strangulation in bed,1,3,33.333300,73717,0.400000
HANCOCK,2016,Respiratory failure of newborn,1,3,33.333300,73717,0.400000
HANCOCK,2017,Respiratory distress syndrome of newborn,2,3,66.666600,73717,0.400000
HANCOCK,2017,Other specified cerebrovascular diseases,1,3,33.333300,73717,0.400000
HANCOCK,2018,Extreme immaturity,1,5,20.000000,73717,0.670000
HANCOCK,2018,"Edwards' syndrome, unspecified",1,5,20.000000,73717,0.670000
HANCOCK,2018,Newborn affected by incompetent cervix,1,5,20.000000,73717,0.670000
HANCOCK,2018,Bronchopulmonary dysplasia originating in the perinatal period,1,5,20.000000,73717,0.670000
HANCOCK,2018,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments, and biological substances",1,5,20.000000,73717,0.670000
HARRISON,2010,,1,1,100.000000,39364,0.250000
HARRISON,2011,,1,2,50.000000,39205,0.510000
HARRISON,2011,Sudden infant death syndrome,1,2,50.000000,39205,0.510000
HARRISON,2012,Accidental suffocation and strangulation in bed,1,1,100.000000,39064,0.250000
HARRISON,2013,Accidental suffocation and strangulation in bed,1,1,100.000000,39065,0.250000
HARRISON,2016,Accidental suffocation and strangulation in bed,1,3,33.333300,39826,0.750000
HARRISON,2016,Unspecified threat to breathing,1,3,33.333300,39826,0.750000
HARRISON,2016,,1,3,33.333300,39826,0.750000
HARRISON,2018,Sudden infant death syndrome,1,1,100.000000,39826,0.250000
HENDRICKS,2010,Sudden infant death syndrome,1,4,25.000000,145448,0.270000
HENDRICKS,2010,"Malignant neoplasm of brain, unspecified",1,4,25.000000,145448,0.270000
HENDRICKS,2010,Septicemia due to other Gram?negative organisms,1,4,25.000000,145448,0.270000
HENDRICKS,2010,Other disorders of lung,1,4,25.000000,145448,0.270000
HENDRICKS,2011,Hypoxic ischemic encephalopathy of newborn,1,3,33.333300,148646,0.200000
HENDRICKS,2011,,1,3,33.333300,148646,0.200000
HENDRICKS,2011,Dilated cardiomyopathy,1,3,33.333300,148646,0.200000
HENDRICKS,2012,Necrotizing enterocolitis of newborn,1,4,25.000000,150773,0.260000
HENDRICKS,2012,Sudden infant death syndrome,1,4,25.000000,150773,0.260000
HENDRICKS,2012,Other ill-defined and unspecified causes of mortality,1,4,25.000000,150773,0.260000
HENDRICKS,2012,"Pneumonia, unspecified",1,4,25.000000,150773,0.260000
HENDRICKS,2013,Hypoplastic left heart syndrome,1,6,16.666600,153584,0.390000
HENDRICKS,2013,Sudden infant death syndrome,1,6,16.666600,153584,0.390000
HENDRICKS,2013,Tetralogy of Fallot,1,6,16.666600,153584,0.390000
HENDRICKS,2013,Necrotizing enterocolitis of newborn,1,6,16.666600,153584,0.390000
HENDRICKS,2013,Disseminated intravascular coagulation [defibrination syndrome],1,6,16.666600,153584,0.390000
HENDRICKS,2013,"Birth asphyxia, unspecified",1,6,16.666600,153584,0.390000
HENDRICKS,2014,Extreme immaturity,1,3,33.333300,156059,0.190000
HENDRICKS,2014,"Birth asphyxia, unspecified",1,3,33.333300,156059,0.190000
HENDRICKS,2014,Anencephaly,1,3,33.333300,156059,0.190000
HENDRICKS,2015,Hypoxic ischemic encephalopathy of newborn,2,9,22.222200,158059,0.560000
HENDRICKS,2015,Accidental suffocation and strangulation in bed,1,9,11.111100,158059,0.560000
HENDRICKS,2015,Renal dysplasia,1,9,11.111100,158059,0.560000
HENDRICKS,2015,"Multiple congenital malformations, not elsewhere classified",1,9,11.111100,158059,0.560000
HENDRICKS,2015,Bronchopulmonary dysplasia originating in the perinatal period,1,9,11.111100,158059,0.560000
HENDRICKS,2015,Unspecified threat to breathing,1,9,11.111100,158059,0.560000
HENDRICKS,2015,Necrotizing enterocolitis of newborn,1,9,11.111100,158059,0.560000
HENDRICKS,2015,"Encephalopathy, unspecified",1,9,11.111100,158059,0.560000
HENDRICKS,2016,Sudden infant death syndrome,2,11,18.181800,160610,0.680000
HENDRICKS,2016,"Septicemia, unspecified",2,11,18.181800,160610,0.680000
HENDRICKS,2016,Hypoxic ischemic encephalopathy of newborn,1,11,9.090900,160610,0.680000
HENDRICKS,2016,"Other specified congenital malformation syndromes, not elsewhere classified",1,11,9.090900,160610,0.680000
HENDRICKS,2016,Other diseases of pharynx,1,11,9.090900,160610,0.680000
HENDRICKS,2016,"Patau's syndrome, unspecified",1,11,9.090900,160610,0.680000
HENDRICKS,2016,"Edwards' syndrome, unspecified",1,11,9.090900,160610,0.680000
HENDRICKS,2016,"Myoneural disorder, unspecified",1,11,9.090900,160610,0.680000
HENDRICKS,2016,Hypoplasia and dysplasia of lung,1,11,9.090900,160610,0.680000
HENDRICKS,2017,Primary atelectasis of newborn,1,4,25.000000,160610,0.240000
HENDRICKS,2017,"Birth asphyxia, unspecified",1,4,25.000000,160610,0.240000
HENDRICKS,2017,"Other maltreatment syndromes, by unspecified person",1,4,25.000000,160610,0.240000
HENDRICKS,2017,Respiratory failure of newborn,1,4,25.000000,160610,0.240000
HENDRICKS,2018,Respiratory distress syndrome of newborn,1,6,16.666600,160610,0.370000
HENDRICKS,2018,Other reduction deformities of brain,1,6,16.666600,160610,0.370000
HENDRICKS,2018,"Patau's syndrome, unspecified",1,6,16.666600,160610,0.370000
HENDRICKS,2018,"Birth asphyxia, unspecified",1,6,16.666600,160610,0.370000
HENDRICKS,2018,"Septicemia, unspecified",1,6,16.666600,160610,0.370000
HENDRICKS,2018,Hypoxic ischemic encephalopathy of newborn,1,6,16.666600,160610,0.370000
HENRY,2010,Birth injury to liver,1,2,50.000000,49462,0.400000
HENRY,2010,Sudden infant death syndrome,1,2,50.000000,49462,0.400000
HENRY,2011,"Bacterial sepsis of newborn, unspecified",1,3,33.333300,49354,0.600000
HENRY,2011,"Anoxic brain damage, not elsewhere classified",1,3,33.333300,49354,0.600000
HENRY,2011,"Other congenital anemias, not elsewhere classified",1,3,33.333300,49354,0.600000
HENRY,2013,Sudden infant death syndrome,1,2,50.000000,49035,0.400000
HENRY,2013,"Septicemia, unspecified",1,2,50.000000,49035,0.400000
HENRY,2014,Hypoxic ischemic encephalopathy of newborn,1,2,50.000000,49057,0.400000
HENRY,2014,Endocardial fibroelastosis,1,2,50.000000,49057,0.400000
HENRY,2015,"Birth asphyxia, unspecified",1,2,50.000000,48894,0.400000
HENRY,2015,Triploidy and polyploidy,1,2,50.000000,48894,0.400000
HENRY,2016,Necrotizing enterocolitis of newborn,1,1,100.000000,48521,0.200000
HENRY,2018,"Congenital malformation of the heart, unspecified",1,3,33.333300,48521,0.610000
HENRY,2018,Congenital diaphragmatic hernia,1,3,33.333300,48521,0.610000
HENRY,2018,"Congenital malformation of lung, unspecified",1,3,33.333300,48521,0.610000
HOWARD,2010,Accidental suffocation and strangulation in bed,2,3,66.666600,82752,0.360000
HOWARD,2010,"Hanging, strangulation, and suffocation, undetermined intent",1,3,33.333300,82752,0.360000
HOWARD,2011,Accidental suffocation and strangulation in bed,1,4,25.000000,82856,0.480000
HOWARD,2011,"Edwards' syndrome, unspecified",1,4,25.000000,82856,0.480000
HOWARD,2011,"Congenital absence, atresia, and stenosis of duodenum",1,4,25.000000,82856,0.480000
HOWARD,2011,"Lobar pneumonia, unspecified",1,4,25.000000,82856,0.480000
HOWARD,2012,Sudden infant death syndrome,1,1,100.000000,82914,0.120000
HOWARD,2013,"Multiple congenital malformations, not elsewhere classified",1,2,50.000000,82840,0.240000
HOWARD,2013,Primary atelectasis of newborn,1,2,50.000000,82840,0.240000
HOWARD,2014,"Intrauterine hypoxia, unspecified",1,6,16.666600,82739,0.720000
HOWARD,2014,Respiratory distress syndrome of newborn,1,6,16.666600,82739,0.720000
HOWARD,2014,Inhalation and ingestion of other objects causing obstruction of respiratory tract,1,6,16.666600,82739,0.720000
HOWARD,2014,"Congenital malformation of the heart, unspecified",1,6,16.666600,82739,0.720000
HOWARD,2014,Extreme immaturity,1,6,16.666600,82739,0.720000
HOWARD,2014,Assault (homicide) by handgun discharge,1,6,16.666600,82739,0.720000
HOWARD,2015,Sudden infant death syndrome,2,4,50.000000,82581,0.480000
HOWARD,2015,"Intracranial (nontraumatic) hemorrhage of newborn, unspecified",1,4,25.000000,82581,0.480000
HOWARD,2015,Bronchopulmonary dysplasia originating in the perinatal period,1,4,25.000000,82581,0.480000
HOWARD,2016,Persistent fetal circulation,1,4,25.000000,82568,0.480000
HOWARD,2016,Sudden infant death syndrome,1,4,25.000000,82568,0.480000
HOWARD,2016,Extreme immaturity,1,4,25.000000,82568,0.480000
HOWARD,2016,"Bacterial sepsis of newborn, unspecified",1,4,25.000000,82568,0.480000
HOWARD,2017,Sudden infant death syndrome,2,6,33.333300,82568,0.720000
HOWARD,2017,Necrotizing enterocolitis of newborn,1,6,16.666600,82568,0.720000
HOWARD,2017,Hypoplasia and dysplasia of lung,1,6,16.666600,82568,0.720000
HOWARD,2017,,1,6,16.666600,82568,0.720000
HOWARD,2017,Hypoxic ischemic encephalopathy of newborn,1,6,16.666600,82568,0.720000
HOWARD,2018,"Bacterial sepsis of newborn, unspecified",1,4,25.000000,82568,0.480000
HOWARD,2018,Other congenital malformations of pancreas and pancreatic duct,1,4,25.000000,82568,0.480000
HOWARD,2018,Respiratory failure of newborn,1,4,25.000000,82568,0.480000
HOWARD,2018,Sudden infant death syndrome,1,4,25.000000,82568,0.480000
HUNTINGTON,2010,Hypoplastic left heart syndrome,1,1,100.000000,37124,0.260000
HUNTINGTON,2011,Sudden infant death syndrome,1,3,33.333300,37186,0.800000
HUNTINGTON,2011,"Spinal muscular atrophy, unspecified",1,3,33.333300,37186,0.800000
HUNTINGTON,2011,Respiratory distress syndrome of newborn,1,3,33.333300,37186,0.800000
HUNTINGTON,2012,"Patau's syndrome, unspecified",1,2,50.000000,36993,0.540000
HUNTINGTON,2012,Sudden infant death syndrome,1,2,50.000000,36993,0.540000
HUNTINGTON,2014,,1,1,100.000000,36658,0.270000
HUNTINGTON,2016,Sudden infant death syndrome,3,5,60.000000,36400,1.370000
HUNTINGTON,2016,Respiratory distress syndrome of newborn,1,5,20.000000,36400,1.370000
HUNTINGTON,2016,Hypoplasia and dysplasia of lung,1,5,20.000000,36400,1.370000
HUNTINGTON,2018,Sudden infant death syndrome,2,3,66.666600,36400,0.820000
HUNTINGTON,2018,Assault (homicide) by unspecified means,1,3,33.333300,36400,0.820000
JACKSON,2011,"Osteochondrodysplasia, unspecified",1,2,50.000000,42940,0.460000
JACKSON,2011,Accidental suffocation and strangulation in bed,1,2,50.000000,42940,0.460000
JACKSON,2013,Accidental suffocation and strangulation in bed,1,3,33.333300,43484,0.680000
JACKSON,2013,Other and unspecified gastroenteritis and colitis of infectious origin,1,3,33.333300,43484,0.680000
JACKSON,2013,Hypoplastic left heart syndrome,1,3,33.333300,43484,0.680000
JACKSON,2014,"Intracranial (nontraumatic) hemorrhage of newborn, unspecified",1,3,33.333300,43717,0.680000
JACKSON,2014,Other preterm infants,1,3,33.333300,43717,0.680000
JACKSON,2014,Other disorders of lung,1,3,33.333300,43717,0.680000
JACKSON,2015,Patent ductus arteriosus,1,4,25.000000,43941,0.910000
JACKSON,2015,Perinatal intestinal perforation,1,4,25.000000,43941,0.910000
JACKSON,2015,"Anoxic brain damage, not elsewhere classified",1,4,25.000000,43941,0.910000
JACKSON,2015,Necrotizing enterocolitis of newborn,1,4,25.000000,43941,0.910000
JACKSON,2016,"Other disorders of nervous system, not elsewhere classified",1,1,100.000000,44013,0.220000
JACKSON,2017,Sudden infant death syndrome,1,3,33.333300,44013,0.680000
JACKSON,2017,"Septicemia, unspecified",1,3,33.333300,44013,0.680000
JACKSON,2017,"Congenital hydrocephalus, unspecified",1,3,33.333300,44013,0.680000
JACKSON,2018,Other specified conditions originating in the perinatal period,1,4,25.000000,44013,0.900000
JACKSON,2018,Other ill-defined and unspecified causes of mortality,1,4,25.000000,44013,0.900000
JACKSON,2018,"Renal agenesis, bilateral",1,4,25.000000,44013,0.900000
JACKSON,2018,Sudden infant death syndrome,1,4,25.000000,44013,0.900000
JASPER,2010,Extreme immaturity,1,2,50.000000,33478,0.590000
JASPER,2010,"Congenital pneumonia, unspecified",1,2,50.000000,33478,0.590000
JASPER,2011,Persistent fetal circulation,1,3,33.333300,33420,0.890000
JASPER,2011,Unspecified threat to breathing,1,3,33.333300,33420,0.890000
JASPER,2011,"Down's syndrome, unspecified",1,3,33.333300,33420,0.890000
JASPER,2012,Sudden infant death syndrome,2,2,100.000000,33473,0.590000
JASPER,2015,Accidental suffocation and strangulation in bed,2,3,66.666600,33501,0.890000
JASPER,2015,Unspecified threat to breathing,1,3,33.333300,33501,0.890000
JASPER,2016,Hypoxic ischemic encephalopathy of newborn,1,5,20.000000,33433,1.490000
JASPER,2016,Other secondary pulmonary hypertension,1,5,20.000000,33433,1.490000
JASPER,2016,Unspecified threat to breathing,1,5,20.000000,33433,1.490000
JASPER,2016,Newborn affected by maternal use of tobacco,1,5,20.000000,33433,1.490000
JASPER,2016,Triploidy and polyploidy,1,5,20.000000,33433,1.490000
JASPER,2017,Unspecified threat to breathing,2,3,66.666600,33433,0.890000
JASPER,2017,Other disorders of lung,1,3,33.333300,33433,0.890000
JASPER,2018,Congenital renal failure,1,1,100.000000,33433,0.290000
JAY,2011,"Other specified congenital malformation syndromes, not elsewhere classified",2,4,50.000000,21376,1.870000
JAY,2011,"Termination of pregnancy, fetus, and newborn",1,4,25.000000,21376,1.870000
JAY,2011,"Sepsis of newborn due to streptococcus, group B",1,4,25.000000,21376,1.870000
JAY,2012,Acidosis,1,3,33.333300,21368,1.400000
JAY,2012,"Meningitis, unspecified",1,3,33.333300,21368,1.400000
JAY,2012,Newborn affected by oligohydramnios,1,3,33.333300,21368,1.400000
JAY,2013,Other viral infections of unspecified site,1,3,33.333300,21268,1.410000
JAY,2013,Sepsis of newborn due to Escherichia coli,1,3,33.333300,21268,1.410000
JAY,2013,Sudden infant death syndrome,1,3,33.333300,21268,1.410000
JAY,2014,Coarctation of aorta,1,1,100.000000,21143,0.470000
JAY,2015,Hypoxic ischemic encephalopathy of newborn,1,2,50.000000,21155,0.940000
JAY,2015,Tetralogy of Fallot,1,2,50.000000,21155,0.940000
JAY,2016,"Deletion from autosomes, unspecified",1,3,33.333300,21046,1.420000
JAY,2016,Congenital herpesviral [herpes simplex] infection,1,3,33.333300,21046,1.420000
JAY,2016,"Patau's syndrome, unspecified",1,3,33.333300,21046,1.420000
JAY,2017,"Rider or occupant injured in collision with car, pickup truck, van, heavy transport vehicle, or bus",1,2,50.000000,21046,0.950000
JAY,2017,Newborn affected by chorioamnionitis,1,2,50.000000,21046,0.950000
JAY,2018,Respiratory distress syndrome of newborn,1,2,50.000000,21046,0.950000
JAY,2018,Hirschsprung's disease,1,2,50.000000,21046,0.950000
JEFFERSON,2010,"Renal agenesis, bilateral",1,1,100.000000,32428,0.300000
JEFFERSON,2011,Sudden infant death syndrome,1,2,50.000000,32296,0.610000
JEFFERSON,2011,Other specified congenital malformations of intestine,1,2,50.000000,32296,0.610000
JEFFERSON,2012,,1,1,100.000000,32510,0.300000
JEFFERSON,2013,Other ill-defined and unspecified causes of mortality,1,1,100.000000,32488,0.300000
JEFFERSON,2018,Assault (homicide) by unspecified means,1,1,100.000000,32418,0.300000
JENNINGS,2010,,1,1,100.000000,28525,0.350000
JENNINGS,2011,"Person injured in unspecified motor-vehicle accident, traffic",1,2,50.000000,28195,0.700000
JENNINGS,2011,Sudden infant death syndrome,1,2,50.000000,28195,0.700000
JENNINGS,2012,"Interstitial pulmonary disease, unspecified",1,1,100.000000,28182,0.350000
JENNINGS,2013,Other ill-defined and unspecified causes of mortality,1,1,100.000000,28279,0.350000
JENNINGS,2015,Sudden infant death syndrome,1,1,100.000000,27913,0.350000
JENNINGS,2016,Sudden infant death syndrome,1,3,33.333300,27758,1.080000
JENNINGS,2016,Hypoxic ischemic encephalopathy of newborn,1,3,33.333300,27758,1.080000
JENNINGS,2016,Unspecified threat to breathing,1,3,33.333300,27758,1.080000
JENNINGS,2018,Sudden infant death syndrome,2,3,66.666600,27758,1.080000
JENNINGS,2018,Congestive heart failure,1,3,33.333300,27758,1.080000
JOHNSON,2010,Other preterm infants,1,6,16.666600,139654,0.420000
JOHNSON,2010,Gastroschisis,1,6,16.666600,139654,0.420000
JOHNSON,2010,"Bacterial sepsis of newborn, unspecified",1,6,16.666600,139654,0.420000
JOHNSON,2010,Hypovolemic shock,1,6,16.666600,139654,0.420000
JOHNSON,2010,"Edwards' syndrome, unspecified",1,6,16.666600,139654,0.420000
JOHNSON,2010,Disorders of iron metabolism,1,6,16.666600,139654,0.420000
JOHNSON,2011,Dilated cardiomyopathy,1,6,16.666600,141754,0.420000
JOHNSON,2011,,1,6,16.666600,141754,0.420000
